t_loc,ent,sex,eda,n_hij,e_con,salario,c_ocu11c,ing7c,dur9c,ambito2,anios_esc,hrsocup,ingocup,tcco,scian,mh_col
1,25,1,53,0,5,3080,5,3,6,2,6,44,8600,0,4,0
2,20,1,51,0,5,3080,5,1,3,2,9,17,0,0,4,0
2,20,1,67,0,4,3080,3,7,3,4,18,20,0,0,16,1
2,22,2,50,3,1,3080,8,3,2,2,9,12,6880,0,18,1
3,11,1,57,0,5,3080,5,3,7,3,15,51,8600,0,5,0
3,20,2,58,3,5,3080,3,2,8,3,9,70,5160,3,18,0
3,23,1,33,0,5,3080,6,2,8,3,12,70,6000,3,7,1
3,29,1,76,0,5,3080,10,1,2,0,1,13,375,0,1,1
3,30,1,35,0,5,3080,5,3,6,2,9,48,0,0,4,0
3,2,1,25,0,1,5302,5,3,7,3,9,55,0,0,5,0
3,21,1,47,0,1,3080,5,3,6,2,5,48,7310,0,4,0
3,21,1,47,0,1,3080,5,3,6,2,5,48,7310,0,4,0
3,21,1,68,0,5,3080,10,7,2,0,0,12,0,0,1,1
3,21,1,68,0,5,3080,10,7,2,0,0,12,0,0,1,1
3,25,1,54,0,5,3080,10,2,7,0,17,56,0,3,1,1
4,4,1,52,0,5,3080,10,3,7,0,9,53,6666,0,1,1
4,10,1,27,0,5,3080,5,2,7,3,9,54,6020,3,19,0
4,11,1,43,0,5,3080,5,3,7,2,6,54,7740,0,4,0
4,11,2,57,0,6,3080,5,3,2,3,9,12,0,0,5,0
4,12,2,56,5,5,3080,10,6,6,0,2,48,0,0,1,1
4,14,1,80,0,5,3080,10,2,9,0,3,0,4166,0,1,1
4,15,1,80,0,5,3080,10,1,4,0,0,27,0,0,1,1
4,15,1,48,0,5,3080,5,7,6,2,9,48,0,0,4,1
4,15,1,48,0,5,3080,5,7,6,2,9,48,0,0,4,1
4,16,1,33,0,5,3080,10,1,3,0,6,18,983,0,1,1
4,16,1,42,0,5,3080,10,1,4,0,9,30,2917,0,1,1
4,18,1,83,0,5,3080,10,2,3,0,2,18,3333,0,1,1
4,25,1,39,0,5,3080,5,2,6,2,17,48,0,0,18,0
4,27,2,27,1,2,3080,8,1,2,2,9,13,1720,0,18,0
