"ent","sex","eda5c","e_con","niv_ins","t_loc","rama","ing7c","mh_col"
"24",2,3,5,4,1,4,5,5
"15",1,2,5,3,2,3,3,6
"08",2,3,4,1,1,3,3,5
"02",1,3,5,2,1,4,2,6
"02",1,2,5,2,1,2,7,6
"10",1,3,5,3,1,1,5,6
"03",2,2,1,4,1,6,4,6
"23",2,3,5,1,1,4,2,5
"13",1,3,1,3,1,4,5,6
"28",1,3,1,3,1,4,1,5
"02",2,2,5,3,3,3,1,5
"14",1,4,5,3,1,4,7,6
"14",1,2,5,4,1,2,4,6
"16",2,3,5,2,3,4,3,5
"25",1,3,1,2,1,4,4,5
"30",1,2,1,2,1,2,1,5
"30",1,2,1,2,1,2,1,5
"03",1,3,5,3,2,2,5,6
"14",2,3,5,2,2,3,3,6
"30",1,3,5,2,2,4,2,6
"07",2,3,5,3,2,4,4,5
"08",1,3,5,3,2,3,7,6
"08",1,3,5,3,2,3,7,6
"11",1,2,1,3,2,3,2,6
